time,Hs,Tp
1451606400.0,1.1242963075637817,12.879737854003906
1451628000.0,1.099852204322815,12.461769104003906
1451649600.0,1.0975998640060425,12.280128479003906
1451671200.0,1.023185133934021,11.865577697753906
1451692800.0,1.0023976564407349,11.511573791503906
1451714400.0,1.024505853652954,11.477882385253906
1451736000.0,1.0922209024429321,11.862159729003906
1451757600.0,1.127532958984375,12.003761291503906
1451779200.0,1.252343773841858,12.132667541503906
1451800800.0,1.1969542503356934,11.850440979003906
1451822400.0,1.1611700057983398,11.749366760253906
1451844000.0,1.0872840881347656,11.399757385253906
1451865600.0,1.0138030052185059,11.076026916503906
1451887200.0,0.9521275162696838,10.806007385253906
1451908800.0,0.9174025058746338,10.596046447753906
1451930400.0,0.9198998808860779,10.487159729003906
1451952000.0,0.930723249912262,10.421241760253906
1451973600.0,0.9112810492515564,15.727394104003906
1451995200.0,0.9549784064292908,15.609718322753906
1452016800.0,0.9608199000358582,14.899757385253906
1452038400.0,1.022874116897583,14.731788635253906
1452060000.0,1.026329517364502,14.176124572753906
1452081600.0,1.0392286777496338,13.491554260253906
1452103200.0,1.0311431884765625,13.183937072753906
1452124800.0,1.0632721185684204,16.845069885253906
1452146400.0,1.151764154434204,16.378273010253906
1452168000.0,1.190436840057373,15.757179260253906
1452189600.0,1.2027978897094727,14.991554260253906
1452211200.0,1.1612427234649658,14.345558166503906
1452232800.0,1.1641819477081299,13.867530822753906
1452254400.0,1.1351908445358276,13.414894104003906
1452276000.0,1.094415545463562,13.060890197753906
1452297600.0,1.1306321620941162,13.051612854003906
1452319200.0,1.085200309753418,12.658058166503906
1452340800.0,1.0319628715515137,12.100929260253906
1452362400.0,0.9903668165206909,11.448585510253906
1452384000.0,0.9950183033943176,18.023780822753906
1452405600.0,1.0662670135498047,17.572120666503906
1452427200.0,1.123526692390442,16.891456604003906
1452448800.0,1.1673345565795898,16.244483947753906
1452470400.0,1.2158727645874023,15.883155822753906
1452492000.0,1.1946208477020264,14.999366760253906
1452513600.0,1.1959772109985352,14.570655822753906
1452535200.0,1.167117714881897,14.010597229003906
1452556800.0,1.1714015007019043,13.673683166503906
1452578400.0,1.1507158279418945,13.366065979003906
