index,pot_time,pot_maxima
601.0,1464588000.0,2.3722095489501958
612.0,1464825600.0,2.358806610107422
639.0,1465408800.0,2.6166415214538574
644.0,1465516800.0,2.314784526824951
792.0,1468713600.0,2.486135482788086
801.0,1468908000.0,2.7215378284454346
858.0,1470139200.0,2.6218454837799072
1011.0,1473444000.0,2.2583870887756348
1780.0,1490054400.0,2.4194560050964355
1985.0,1494482400.0,2.308577060699463
2085.0,1496642400.0,2.532097101211548
2132.0,1497657600.0,2.2706847190856934
2245.0,1500098400.0,2.21445369720459
2272.0,1500681600.0,2.2454004287719727
2286.0,1500984000.0,2.286837339401245
2308.0,1501459200.0,2.224158525466919
2312.0,1501545600.0,2.4279279708862305
2319.0,1501696800.0,2.376440048217773
2323.0,1501783200.0,2.4656827449798584
2327.0,1501869600.0,2.2334718704223637
2352.0,1502409600.0,2.2058703899383545
2369.0,1502776800.0,2.5578112602233887
2375.0,1502906400.0,2.463780879974365
2626.0,1508328000.0,2.4561803340911865
2796.0,1512000000.0,2.9184117317199707
3034.0,1517140800.0,2.224687337875366
3508.0,1527379200.0,2.3027639389038086
3665.0,1530770400.0,2.412106275558472
3704.0,1531612800.0,2.629402637481689
3720.0,1531958400.0,2.757131099700928
3745.0,1532498400.0,3.434255599975586
3757.0,1532757600.0,2.398502349853516
3763.0,1532887200.0,3.015472650527954
3782.0,1533297600.0,2.799501895904541
3791.0,1533492000.0,2.328786611557007
3832.0,1534377600.0,2.283324718475342
3922.0,1536321600.0,2.4369702339172363
3943.0,1536775200.0,2.285407543182373
3947.0,1536861600.0,2.3920586109161377
5028.0,1560211200.0,2.5305335521698
5099.0,1561744800.0,2.825956344604492
5132.0,1562457600.0,2.31268310546875
5155.0,1562954400.0,2.210620164871216
5170.0,1563278400.0,2.5046348571777344
5193.0,1563775200.0,2.382753372192383
5203.0,1563991200.0,2.2618632316589355
5247.0,1564941600.0,2.4319512844085693
5307.0,1566237600.0,2.3589956760406494
5318.0,1566475200.0,2.336414337158203
5322.0,1566561600.0,2.421925544738769
5330.0,1566734400.0,2.3252530097961426
5371.0,1567620000.0,2.2944557666778564
5416.0,1568592000.0,2.2113845348358154
5466.0,1569672000.0,2.252793788909912
5495.0,1570298400.0,2.266432762145996
5567.0,1571853600.0,2.4168872833251958
5571.0,1571940000.0,2.307269811630249
5575.0,1572026400.0,2.2171454429626465
5584.0,1572220800.0,2.3071224689483643
6431.0,1590516000.0,2.314829111099243
6575.0,1593626400.0,2.4486353397369385
6634.0,1594900800.0,2.432332992553711
6640.0,1595030400.0,2.4803571701049805
6680.0,1595894400.0,2.416785478591919
6742.0,1597233600.0,2.3616244792938232
6827.0,1599069600.0,2.2434732913970947
6853.0,1599631200.0,2.5393052101135254
6864.0,1599868800.0,2.424378633499145
6881.0,1600236000.0,2.380210876464844
6958.0,1601899200.0,2.4827921390533447
7055.0,1603994400.0,2.330083131790161
8083.0,1626199200.0,2.366030693054199
8147.0,1627581600.0,2.3698740005493164
8151.0,1627668000.0,2.226670742034912
8158.0,1627819200.0,2.636914730072021
8199.0,1628704800.0,2.570664405822754
8290.0,1630670400.0,2.4088621139526367
8295.0,1630778400.0,2.3162150382995605
8315.0,1631210400.0,2.219388008117676
8351.0,1631988000.0,2.320549488067627
8355.0,1632074400.0,2.201082706451416
9342.0,1653393600.0,2.366905689239502
9499.0,1656784800.0,2.203021287918091
9733.0,1661839200.0,2.486302137374878
9843.0,1664215200.0,2.223142147064209
10190.0,1671710400.0,2.4150643348693848
10226.0,1672488000.0,2.2871010303497314
10976.0,1688688000.0,2.333873987197876
11000.0,1689206400.0,2.31754207611084
11006.0,1689336000.0,2.2990639209747314
11033.0,1689919200.0,2.397108793258667
11060.0,1690502400.0,2.342095375061035
11090.0,1691150400.0,2.6980459690093994
11143.0,1692295200.0,2.4793734550476074
11166.0,1692792000.0,2.447279453277588
11219.0,1693936800.0,2.2662107944488525
11254.0,1694692800.0,2.685831069946289
11258.0,1694779200.0,2.491462230682373
11264.0,1694908800.0,2.639465808868408
11274.0,1695124800.0,2.213782787322998
11335.0,1696442400.0,2.693646192550659
11972.0,1710201600.0,2.450181722640991
11981.0,1710396000.0,2.221013069152832
12311.0,1717524000.0,2.3149101734161377
12540.0,1722470400.0,2.2257418632507324
12645.0,1724738400.0,2.3640241622924805
12847.0,1729101600.0,2.733736276626587
13034.0,1733140800.0,2.2980828285217285
13042.0,1733313600.0,2.237577438354492
13047.0,1733421600.0,2.4604387283325195
13070.0,1733918400.0,2.292393445968628
13722.0,1748001600.0,2.3213350772857666
13912.0,1752105600.0,2.348968982696533
13987.0,1753725600.0,2.517089366912842
14019.0,1754416800.0,2.426647424697876
14107.0,1756317600.0,2.5095839500427246
14390.0,1762430400.0,2.2621448040008545
14859.0,1772560800.0,2.2573814392089844
